path,label,width,height,aspect_ratio,group_id,split
D:\DS107-ImageDetector\Data\cleaned\real\2ZohdYkh29E.png,real,1067,1600,0.667,2ZohdYkh29E,train
D:\DS107-ImageDetector\Data\cleaned\real\3gO4bPT1JQY.png,real,1280,854,1.499,3gO4bPT1JQY,train
D:\DS107-ImageDetector\Data\cleaned\real\3HURcc6E5Fs.png,real,1067,1600,0.667,3HURcc6E5Fs,train
D:\DS107-ImageDetector\Data\cleaned\real\3jESu30cJVE.png,real,1280,853,1.501,3jESu30cJVE,train
D:\DS107-ImageDetector\Data\cleaned\real\3LUFsBwuLQI.png,real,1067,1600,0.667,3LUFsBwuLQI,train
D:\DS107-ImageDetector\Data\cleaned\real\3lyPCjrnP00.png,real,1280,720,1.778,3lyPCjrnP00,train
D:\DS107-ImageDetector\Data\cleaned\real\3TlClkGPZcc.png,real,1280,960,1.333,3TlClkGPZcc,train
D:\DS107-ImageDetector\Data\cleaned\real\3u9Gd1CtNw0.png,real,1280,858,1.492,3u9Gd1CtNw0,train
D:\DS107-ImageDetector\Data\cleaned\real\3VK6Urf2vE8.png,real,1197,1600,0.748,3VK6Urf2vE8,train
D:\DS107-ImageDetector\Data\cleaned\real\3vTXTOFwfx0.png,real,1280,853,1.501,3vTXTOFwfx0,train
D:\DS107-ImageDetector\Data\cleaned\real\3wSpmvj3ui8.png,real,1061,1600,0.663,3wSpmvj3ui8,train
D:\DS107-ImageDetector\Data\cleaned\real\43KhM2J9coY.png,real,1067,1600,0.667,43KhM2J9coY,train
D:\DS107-ImageDetector\Data\cleaned\real\51lPn0Z7U8Y.png,real,1067,1600,0.667,51lPn0Z7U8Y,train
D:\DS107-ImageDetector\Data\cleaned\real\5fxgpuOdaZo.png,real,1280,720,1.778,5fxgpuOdaZo,train
D:\DS107-ImageDetector\Data\cleaned\real\5KxI2qNfp4U.png,real,1200,1600,0.75,5KxI2qNfp4U,train
D:\DS107-ImageDetector\Data\cleaned\real\5u088Cqep6o.png,real,1197,1600,0.748,5u088Cqep6o,train
D:\DS107-ImageDetector\Data\cleaned\real\5yK56BM0dLc.png,real,1067,1600,0.667,5yK56BM0dLc,train
D:\DS107-ImageDetector\Data\cleaned\real\6-o09lWkL5o.png,real,1280,853,1.501,6-o09lWkL5o,train
D:\DS107-ImageDetector\Data\cleaned\real\61MLTj2Ht1A.png,real,1280,853,1.501,61MLTj2Ht1A,train
D:\DS107-ImageDetector\Data\cleaned\real\6la9hW-gL9s.png,real,1280,960,1.333,6la9hW-gL9s,train
D:\DS107-ImageDetector\Data\cleaned\real\6N8GYg1SiVM.png,real,1067,1600,0.667,6N8GYg1SiVM,train
D:\DS107-ImageDetector\Data\cleaned\real\6vX2E06jKmc.png,real,1280,853,1.501,6vX2E06jKmc,train
D:\DS107-ImageDetector\Data\cleaned\real\7BHXhfWfVL0.png,real,1069,1600,0.668,7BHXhfWfVL0,train
D:\DS107-ImageDetector\Data\cleaned\real\7Fhy9i_FdGg.png,real,1280,720,1.778,7Fhy9i_FdGg,train
D:\DS107-ImageDetector\Data\cleaned\real\7JBdrcomnms.png,real,1042,1600,0.651,7JBdrcomnms,train
D:\DS107-ImageDetector\Data\cleaned\real\82xyhHnsK7U.png,real,1200,1600,0.75,82xyhHnsK7U,train
D:\DS107-ImageDetector\Data\cleaned\real\82_jgTdi51Q.png,real,1280,853,1.501,82_jgTdi51Q,train
D:\DS107-ImageDetector\Data\cleaned\real\88KyqUHLVlc.png,real,1280,848,1.509,88KyqUHLVlc,train
D:\DS107-ImageDetector\Data\cleaned\real\8fEvDHAuUT4.png,real,1280,848,1.509,8fEvDHAuUT4,train
D:\DS107-ImageDetector\Data\cleaned\real\8xTn-IJKQuk.png,real,1280,642,1.994,8xTn-IJKQuk,train
D:\DS107-ImageDetector\Data\cleaned\real\9D9CvT3Lh1I.png,real,1280,960,1.333,9D9CvT3Lh1I,train
D:\DS107-ImageDetector\Data\cleaned\real\9kOwrkXFN0w.png,real,1067,1600,0.667,9kOwrkXFN0w,train
D:\DS107-ImageDetector\Data\cleaned\real\9RmZ6FsTPds.png,real,1280,853,1.501,9RmZ6FsTPds,train
D:\DS107-ImageDetector\Data\cleaned\real\a-n58tkQ2Sk.png,real,1280,960,1.333,a-n58tkQ2Sk,train
D:\DS107-ImageDetector\Data\cleaned\real\A2-ctJ45Gdc.png,real,1067,1600,0.667,A2-ctJ45Gdc,train
D:\DS107-ImageDetector\Data\cleaned\real\a6-7z7UF48Y.png,real,1200,1600,0.75,a6-7z7UF48Y,train
D:\DS107-ImageDetector\Data\cleaned\real\Aa3vtwYLGHg.png,real,1280,848,1.509,Aa3vtwYLGHg,train
D:\DS107-ImageDetector\Data\cleaned\real\AC4LIO30c8c.png,real,1280,720,1.778,AC4LIO30c8c,train
D:\DS107-ImageDetector\Data\cleaned\real\agyBfixQINo.png,real,1280,875,1.463,agyBfixQINo,train
D:\DS107-ImageDetector\Data\cleaned\real\AL-2JErV_ww.png,real,1280,960,1.333,AL-2JErV_ww,train
D:\DS107-ImageDetector\Data\cleaned\real\AOMNGFnyqHM.png,real,1280,720,1.778,AOMNGFnyqHM,train
D:\DS107-ImageDetector\Data\cleaned\real\AQv8D0MOVHg.png,real,1280,960,1.333,AQv8D0MOVHg,train
D:\DS107-ImageDetector\Data\cleaned\real\ArAEr4cSZcA.png,real,1280,853,1.501,ArAEr4cSZcA,train
D:\DS107-ImageDetector\Data\cleaned\real\ASATXP4GnVs.png,real,1280,853,1.501,ASATXP4GnVs,train
D:\DS107-ImageDetector\Data\cleaned\real\ataEUlEyCSg.png,real,1280,853,1.501,ataEUlEyCSg,train
D:\DS107-ImageDetector\Data\cleaned\real\BbRhhiUqjv8.png,real,1280,853,1.501,BbRhhiUqjv8,train
D:\DS107-ImageDetector\Data\cleaned\real\BD1qN1FAdZk.png,real,1280,1478,0.866,BD1qN1FAdZk,train
D:\DS107-ImageDetector\Data\cleaned\real\BDMEVMmh0Uw.png,real,1280,853,1.501,BDMEVMmh0Uw,train
D:\DS107-ImageDetector\Data\cleaned\real\BeDBb-vxGxc.png,real,1067,1600,0.667,BeDBb-vxGxc,train
D:\DS107-ImageDetector\Data\cleaned\real\Bg0Qz7y8-ME.png,real,1280,853,1.501,Bg0Qz7y8-ME,train
D:\DS107-ImageDetector\Data\cleaned\real\bhQZlZma5oQ.png,real,1280,853,1.501,bhQZlZma5oQ,train
D:\DS107-ImageDetector\Data\cleaned\real\BJ0oxqJTETE.png,real,1067,1600,0.667,BJ0oxqJTETE,train
D:\DS107-ImageDetector\Data\cleaned\real\Br3G2xr71lI.png,real,1067,1600,0.667,Br3G2xr71lI,train
D:\DS107-ImageDetector\Data\cleaned\real\BTv0K50c_4M.png,real,1280,853,1.501,BTv0K50c_4M,train
D:\DS107-ImageDetector\Data\cleaned\real\bWEH_mmn0E8.png,real,1280,853,1.501,bWEH_mmn0E8,train
D:\DS107-ImageDetector\Data\cleaned\real\bzrayk8R6ks.png,real,1067,1600,0.667,bzrayk8R6ks,train
D:\DS107-ImageDetector\Data\cleaned\real\b_3PkxZaiuI.png,real,1280,1600,0.8,b_3PkxZaiuI,train
D:\DS107-ImageDetector\Data\cleaned\real\cbetSkgoFq0.png,real,1280,810,1.58,cbetSkgoFq0,train
D:\DS107-ImageDetector\Data\cleaned\real\CDkIsx6T77U.png,real,1280,1600,0.8,CDkIsx6T77U,train
D:\DS107-ImageDetector\Data\cleaned\real\cFnvgjyoYLI.png,real,1067,1600,0.667,cFnvgjyoYLI,train
D:\DS107-ImageDetector\Data\cleaned\real\cidPw8h_qf4.png,real,1280,853,1.501,cidPw8h_qf4,train
D:\DS107-ImageDetector\Data\cleaned\real\CjZtbRCi7Xk.png,real,1067,1600,0.667,CjZtbRCi7Xk,train
D:\DS107-ImageDetector\Data\cleaned\real\ClwcebQCQG4.png,real,1280,960,1.333,ClwcebQCQG4,train
D:\DS107-ImageDetector\Data\cleaned\real\CpG9vMcwGnk.png,real,1280,720,1.778,CpG9vMcwGnk,train
D:\DS107-ImageDetector\Data\cleaned\real\CpKJ7JAjR30.png,real,1280,856,1.495,CpKJ7JAjR30,train
D:\DS107-ImageDetector\Data\cleaned\real\CtSJrs41ZYk.png,real,1280,1000,1.28,CtSJrs41ZYk,train
D:\DS107-ImageDetector\Data\cleaned\real\c_FICsj3Qz4.png,real,1067,1600,0.667,c_FICsj3Qz4,train
D:\DS107-ImageDetector\Data\cleaned\real\dC2eu0IygE0.png,real,1067,1600,0.667,dC2eu0IygE0,train
D:\DS107-ImageDetector\Data\cleaned\real\dG78rHdh6y8.png,real,1280,853,1.501,dG78rHdh6y8,train
D:\DS107-ImageDetector\Data\cleaned\real\Di2KlnlXTGA.png,real,1280,853,1.501,Di2KlnlXTGA,train
D:\DS107-ImageDetector\Data\cleaned\real\dLkyhhC-e6Y.png,real,1280,581,2.203,dLkyhhC-e6Y,train
D:\DS107-ImageDetector\Data\cleaned\real\DM0h0jsLqTg.png,real,1280,853,1.501,DM0h0jsLqTg,train
D:\DS107-ImageDetector\Data\cleaned\real\DMdbKrTmAh4.png,real,1280,720,1.778,DMdbKrTmAh4,train
D:\DS107-ImageDetector\Data\cleaned\real\dO5QGDCcij4.png,real,1280,853,1.501,dO5QGDCcij4,train
D:\DS107-ImageDetector\Data\cleaned\real\dSGsyPdR4kM.png,real,1280,853,1.501,dSGsyPdR4kM,train
D:\DS107-ImageDetector\Data\cleaned\real\DUIB62iXRIk.png,real,1280,848,1.509,DUIB62iXRIk,train
D:\DS107-ImageDetector\Data\cleaned\real\dWFrAKf8Nkg.png,real,1280,848,1.509,dWFrAKf8Nkg,train
D:\DS107-ImageDetector\Data\cleaned\real\dyqnhDZqM5E.png,real,1280,960,1.333,dyqnhDZqM5E,train
D:\DS107-ImageDetector\Data\cleaned\real\e0zKKqY7Dho.png,real,1200,1600,0.75,e0zKKqY7Dho,train
D:\DS107-ImageDetector\Data\cleaned\real\EbKXvNYcPbU.png,real,1280,853,1.501,EbKXvNYcPbU,train
D:\DS107-ImageDetector\Data\cleaned\real\EkMAdqWsMpo.png,real,1067,1600,0.667,EkMAdqWsMpo,train
D:\DS107-ImageDetector\Data\cleaned\real\em37-C7ikV4.png,real,1280,720,1.778,em37-C7ikV4,train
D:\DS107-ImageDetector\Data\cleaned\real\eMYxdox5_Yw.png,real,1280,921,1.39,eMYxdox5_Yw,train
D:\DS107-ImageDetector\Data\cleaned\real\EN6VqUHpK4o.png,real,1280,720,1.778,EN6VqUHpK4o,train
D:\DS107-ImageDetector\Data\cleaned\real\eUj61E_l62Q.png,real,1280,848,1.509,eUj61E_l62Q,train
D:\DS107-ImageDetector\Data\cleaned\real\EXJPTXw48F4.png,real,1280,960,1.333,EXJPTXw48F4,train
D:\DS107-ImageDetector\Data\cleaned\real\Eyf0xpr_tmA.png,real,1280,960,1.333,Eyf0xpr_tmA,train
D:\DS107-ImageDetector\Data\cleaned\real\F-haNd2Y500.png,real,1067,1600,0.667,F-haNd2Y500,train
D:\DS107-ImageDetector\Data\cleaned\real\f0CJgNaIh4I.png,real,1280,960,1.333,f0CJgNaIh4I,train
D:\DS107-ImageDetector\Data\cleaned\real\F4wRROL81XI.png,real,1280,934,1.37,F4wRROL81XI,train
D:\DS107-ImageDetector\Data\cleaned\real\FB6oBaqlgjs.png,real,984,1600,0.615,FB6oBaqlgjs,train
D:\DS107-ImageDetector\Data\cleaned\real\fHnLV6RSQYw.png,real,1197,1600,0.748,fHnLV6RSQYw,train
D:\DS107-ImageDetector\Data\cleaned\real\FptjdbZYv3A.png,real,1280,853,1.501,FptjdbZYv3A,train
D:\DS107-ImageDetector\Data\cleaned\real\FqjSViTwveI.png,real,1280,720,1.778,FqjSViTwveI,train
D:\DS107-ImageDetector\Data\cleaned\real\fYdydwPk75Q.png,real,1067,1600,0.667,fYdydwPk75Q,train
D:\DS107-ImageDetector\Data\cleaned\real\gbhPIbH1IDQ.png,real,1200,1600,0.75,gbhPIbH1IDQ,train
D:\DS107-ImageDetector\Data\cleaned\real\GCfrHG0YZtY.png,real,1280,853,1.501,GCfrHG0YZtY,train
D:\DS107-ImageDetector\Data\cleaned\real\gD6Js6K0G1s.png,real,1280,853,1.501,gD6Js6K0G1s,train
D:\DS107-ImageDetector\Data\cleaned\real\GdwVLWPeO1I.png,real,1067,1600,0.667,GdwVLWPeO1I,train
D:\DS107-ImageDetector\Data\cleaned\real\GhA5pHZyQLw.png,real,1067,1600,0.667,GhA5pHZyQLw,train
D:\DS107-ImageDetector\Data\cleaned\real\ghY-xQGTCAk.png,real,1280,853,1.501,ghY-xQGTCAk,train
D:\DS107-ImageDetector\Data\cleaned\real\Gomk6zgHn6M.png,real,1200,1600,0.75,Gomk6zgHn6M,train
D:\DS107-ImageDetector\Data\cleaned\real\GTzRvLR6aOU.png,real,1280,800,1.6,GTzRvLR6aOU,train
D:\DS107-ImageDetector\Data\cleaned\real\GUV1FXyYsMk.png,real,1280,854,1.499,GUV1FXyYsMk,train
D:\DS107-ImageDetector\Data\cleaned\real\GVweHPWHZsE.png,real,1059,1600,0.662,GVweHPWHZsE,train
D:\DS107-ImageDetector\Data\cleaned\real\HECBXb1EII4.png,real,1280,859,1.49,HECBXb1EII4,train
D:\DS107-ImageDetector\Data\cleaned\real\hI7lMqRFRfM.png,real,1280,853,1.501,hI7lMqRFRfM,train
D:\DS107-ImageDetector\Data\cleaned\real\HJh2SWxCRJM.png,real,1067,1600,0.667,HJh2SWxCRJM,train
D:\DS107-ImageDetector\Data\cleaned\real\hKcvAQlCRTY.png,real,1280,960,1.333,hKcvAQlCRTY,train
D:\DS107-ImageDetector\Data\cleaned\real\Hlrs97iHDi8.png,real,1280,853,1.501,Hlrs97iHDi8,train
D:\DS107-ImageDetector\Data\cleaned\real\HR-1b0TMtWY.png,real,1280,853,1.501,HR-1b0TMtWY,train
D:\DS107-ImageDetector\Data\cleaned\real\HszI5FXy8sc.png,real,1280,853,1.501,HszI5FXy8sc,train
D:\DS107-ImageDetector\Data\cleaned\real\HW9J_3gezCQ.png,real,1200,1600,0.75,HW9J_3gezCQ,train
D:\DS107-ImageDetector\Data\cleaned\real\HYeF2tme2fU.png,real,1280,851,1.504,HYeF2tme2fU,train
D:\DS107-ImageDetector\Data\cleaned\real\I4Srk12ojzk.png,real,1067,1600,0.667,I4Srk12ojzk,train
D:\DS107-ImageDetector\Data\cleaned\real\I5Bcn41y2_I.png,real,1280,722,1.773,I5Bcn41y2_I,train
D:\DS107-ImageDetector\Data\cleaned\real\I5CCoZlZzJM.png,real,1280,853,1.501,I5CCoZlZzJM,train
D:\DS107-ImageDetector\Data\cleaned\real\igyGgIy6TNg.png,real,1280,853,1.501,igyGgIy6TNg,train
D:\DS107-ImageDetector\Data\cleaned\real\Ik0UC0p7D2Q.png,real,900,1600,0.562,Ik0UC0p7D2Q,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00000_GUK7SiQ5ZjI.png,real,1280,853,1.501,img_00000_GUK7SiQ5ZjI,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00000_Kl3Hk_e0rpw.png,real,1067,1600,0.667,img_00000_Kl3Hk_e0rpw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00000_SfmKd40Jn-Y.png,real,1280,1600,0.8,img_00000_SfmKd40Jn-Y,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00000_UCLea7teyh4.png,real,1067,1600,0.667,img_00000_UCLea7teyh4,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00001_39SfSgMPx_w.png,real,1200,1600,0.75,img_00001_39SfSgMPx_w,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00001_8-hEg1OuFn8.png,real,1280,763,1.678,img_00001_8-hEg1OuFn8,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00001_H9Q_SvRTBxw.png,real,1067,1600,0.667,img_00001_H9Q_SvRTBxw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00002_DTzH6YUJV7M.png,real,1280,854,1.499,img_00002_DTzH6YUJV7M,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00002_EUwKsyPwSIE.png,real,1280,853,1.501,img_00002_EUwKsyPwSIE,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00002_fj3ihxjJutU.png,real,1067,1600,0.667,img_00002_fj3ihxjJutU,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00002_wHLXMiRgEWk.png,real,1280,853,1.501,img_00002_wHLXMiRgEWk,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00003_Up-qt2qSwtU.png,real,1280,853,1.501,img_00003_Up-qt2qSwtU,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00003_zOPHwEVE6Rk.png,real,1067,1600,0.667,img_00003_zOPHwEVE6Rk,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00004_2hXZqykRRIM.png,real,1280,853,1.501,img_00004_2hXZqykRRIM,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00004_5A_FftG3hD0.png,real,1280,960,1.333,img_00004_5A_FftG3hD0,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00004_Lai59ZwLNBw.png,real,1280,983,1.302,img_00004_Lai59ZwLNBw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00005_85cGHkzRbtU.png,real,1280,853,1.501,img_00005_85cGHkzRbtU,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00005_hgH21C7PhHo.png,real,1280,960,1.333,img_00005_hgH21C7PhHo,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00005_RHCfWk-4Nfw.png,real,1280,853,1.501,img_00005_RHCfWk-4Nfw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00006_kG3w6xQU5Nc.png,real,1280,853,1.501,img_00006_kG3w6xQU5Nc,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00006_UAvv38FnC1E.png,real,1067,1600,0.667,img_00006_UAvv38FnC1E,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00007_79vZfv7BXQs.png,real,1280,853,1.501,img_00007_79vZfv7BXQs,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00007_9Y_BlGIM4Mc.png,real,1280,853,1.501,img_00007_9Y_BlGIM4Mc,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00007_hPKY0MtG1eE.png,real,1067,1600,0.667,img_00007_hPKY0MtG1eE,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00008_O1RZL0vhxyg.png,real,1067,1600,0.667,img_00008_O1RZL0vhxyg,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00008_S9JJwSR8djU.png,real,1280,720,1.778,img_00008_S9JJwSR8djU,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00009_0Ao9yqFSRTc.png,real,1280,853,1.501,img_00009_0Ao9yqFSRTc,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00009_JzPbLuzlJUQ.png,real,1280,836,1.531,img_00009_JzPbLuzlJUQ,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00009_LlqjO12_0oE.png,real,1072,1600,0.67,img_00009_LlqjO12_0oE,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00009_XgQpBIAwAFM.png,real,1067,1600,0.667,img_00009_XgQpBIAwAFM,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00010_2eBHrtblYUM.png,real,1280,720,1.778,img_00010_2eBHrtblYUM,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00010_eDGbXQwO62Q.png,real,1280,853,1.501,img_00010_eDGbXQwO62Q,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00010_lDjHQpn3U3A.png,real,1067,1600,0.667,img_00010_lDjHQpn3U3A,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00010_M0j_5QKuDKA.png,real,1280,640,2.0,img_00010_M0j_5QKuDKA,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00010_NKlu-pKuBrU.png,real,1280,853,1.501,img_00010_NKlu-pKuBrU,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00011_abNdI1WjqS8.png,real,1280,853,1.501,img_00011_abNdI1WjqS8,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00012_PJpXEM36QIA.png,real,1280,960,1.333,img_00012_PJpXEM36QIA,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00012_ZQDwT8C_J_8.png,real,1280,720,1.778,img_00012_ZQDwT8C_J_8,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00013_bV2wE01l-u8.png,real,1280,853,1.501,img_00013_bV2wE01l-u8,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00014_3XeTyJW4mWs.png,real,1280,853,1.501,img_00014_3XeTyJW4mWs,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00014_9Ib5iIcLRQY.png,real,1067,1600,0.667,img_00014_9Ib5iIcLRQY,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00014_J1sfIXnDfuY.png,real,1280,720,1.778,img_00014_J1sfIXnDfuY,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00014_yd8cpIK3M_U.png,real,1280,746,1.716,img_00014_yd8cpIK3M_U,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00015_CdasKNx5qi4.png,real,1280,853,1.501,img_00015_CdasKNx5qi4,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00016_BXiDSlA71fg.png,real,1067,1600,0.667,img_00016_BXiDSlA71fg,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00016_NA5xvWY7V2A.png,real,1280,720,1.778,img_00016_NA5xvWY7V2A,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00016_OkMei9JpZ6E.png,real,1280,853,1.501,img_00016_OkMei9JpZ6E,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00017_N2CBfBLUtRQ.png,real,900,1600,0.562,img_00017_N2CBfBLUtRQ,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00017_WPlKSBfP9vA.png,real,1280,853,1.501,img_00017_WPlKSBfP9vA,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00018_hfZotEeGrrw.png,real,1280,720,1.778,img_00018_hfZotEeGrrw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00019_cGLL_dKuhLY.png,real,1280,853,1.501,img_00019_cGLL_dKuhLY,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00019_N9N1_SGFlt8.png,real,1280,853,1.501,img_00019_N9N1_SGFlt8,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00019_SbQR0X66nHs.png,real,1280,720,1.778,img_00019_SbQR0X66nHs,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00020_Bc92ZzILaYM.png,real,900,1600,0.562,img_00020_Bc92ZzILaYM,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00020_ldmSpGwZ4Mg.png,real,1280,853,1.501,img_00020_ldmSpGwZ4Mg,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00020_xj13jdnH4n0.png,real,1067,1600,0.667,img_00020_xj13jdnH4n0,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00021_CIgjxS6nSy4.png,real,1280,720,1.778,img_00021_CIgjxS6nSy4,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00021_g2-swRUDFQs.png,real,1280,853,1.501,img_00021_g2-swRUDFQs,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00021__inHiN40yMk.png,real,1280,535,2.393,img_00021__inHiN40yMk,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00022_SwU-DEu6JR4.png,real,1280,850,1.506,img_00022_SwU-DEu6JR4,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00022_wj9lbtjReQw.png,real,1067,1600,0.667,img_00022_wj9lbtjReQw,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00022_wzV-Dbi97KY.png,real,1067,1600,0.667,img_00022_wzV-Dbi97KY,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00023_18LoeMDagcM.png,real,1200,1600,0.75,img_00023_18LoeMDagcM,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00023_aWK6GFMRR38.png,real,1067,1600,0.667,img_00023_aWK6GFMRR38,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00023_QE2Suh9khgc.png,real,1280,960,1.333,img_00023_QE2Suh9khgc,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00024_7D6QqjjebGk.png,real,1280,720,1.778,img_00024_7D6QqjjebGk,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00024_Wfb4mi0iBm4.png,real,1280,853,1.501,img_00024_Wfb4mi0iBm4,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00025_StVghjnL1ks.png,real,1280,720,1.778,img_00025_StVghjnL1ks,train
D:\DS107-ImageDetector\Data\cleaned\real\img_00025_UjMPb34l8-Q.png,real,1280,853,1.501,img_00025_UjMPb34l8-Q,train
